,Name,Tweets,Location,Subcategory
5,Prog4Tomorrow,"Now Playing  The Unified Arts Radio
Wai Lana amp Siddha  Moon Among the Stars
Tune in httpstcoQkKGxGRtD
Also Catch the latest PT Extra podcast
AN ASTROLOGICAL REVIEW THE WAR IN UKRAINE PUTIN AND THE ELECTIONS OF  amp 
httpstcogoFxGLvy",Tennessee USA,Arts
6,AntiquingOnLine,Arts amp Crafts Sterling Moonstone Pin Pendant Locket Brooch httpstcoxbtEYYhR vintage vogueteam ecochic vjse rtoe,,Arts
19,rennymagdani3l,"BreadyArts I just ordered one from here
httpstcoemHcCtSOP",ColomboVenezolano,Arts
25,CosmoArts_India,"Cosmo Arts spreads the message of peace  with color white on the second day of Navratri We present to you the painting Colors of Shakti spread over pearl white base by DrMeenukumar a personification of strength and sheer energy womanhood carries with itself

CosmoArt httpstcofaHUyzVPj",India ,Arts
28,JavierMunoz21,DemonAlicorn yedielmenes fusioncrossover HeroOfEquestria LanceSky LenVoorhees DamianEudy PyronArts Demifur FTHobidonHero There I am,Downey CA,Arts
29,Laura78703,RT nbnylemagazine Colin JostYesterday Will Smith resign from the Academy of Motion Picture Arts and Sciences He wasnt going to but th,Austin metro Texas,Arts
30,izzorv6,"TORONTOVictoria Diaconescu the chief financial officer of a transportation and warehousing company said she had tears in her eyes after watching Shen Yun Performing Arts
Its so emotional its so colorful and its so uplifting          

httpstcoEOUTeqwZB httpstcotxUuHml",Melbourne fl,Arts
32,PortsNotAlt,BreadyArts FUCK AROUND AND FIND OUT,Your dads house,Arts
55,nbnylemagazine,Colin JostYesterday Will Smith resign from the Academy of Motion Picture Arts and Sciences He wasnt going to but then Jada gave him that look  SaturdayNightLive SNL,Here,Arts
65,MuliaCeriaaaa,"Prediction Best Actress Baeksang Arts Awards  

 Jun Ji Hyun
 Kim Taeri if eligible
 Shin Min Ah
 Han Seo Hee
 Kim Go Eun", ,Arts
67,LaurieStowell,RT elguante Poem for the First Day of the Poetry Unit in Language Arts Class is literally what it says in the title My hope is that it,Cal State San Marcos,Arts
