id,created_at,text
1510286021182771200,2022-04-02 16:00:21+00:00,"I heard Betty Reid Soskin is retiring at 100, and want to congratulate her for more than a decade of service as a N… https://t.co/uPYzkS8jri"
1510050583197237252,2022-04-02 00:24:49+00:00,"I'm proud of Titus, Ashton, Thaddeus, Jalen, McKinley and Peter for representing @MBK_Alliance at @MarchMadnessMBB.… https://t.co/57h6XDA0jp"
1507085038940262408,2022-03-24 20:00:48+00:00,"Today @POTUS announced that the U.S. will be welcoming 100,000 refugees fleeing the war in Ukraine.
 
This is the r… https://t.co/wlyZASCR4i"
1506730193712467970,2022-03-23 20:30:46+00:00,"As the first woman to serve as America’s top diplomat, Madeleine Albright was a champion for democratic values. Mic… https://t.co/FPuAFRQ0rY"
1506718741459091464,2022-03-23 19:45:16+00:00,"The other day, I called up DonnaMarie, Steve, and Amy to hear how the Affordable Care Act changed their lives and t… https://t.co/aBFPQgc90e"
1506690376471621634,2022-03-23 17:52:33+00:00,"RT @POTUS: Twelve years ago, I proudly stood beside President @BarackObama as he signed into law the most consequential expansion of health…"
1506662262123253771,2022-03-23 16:00:50+00:00,.@POTUS’s American Rescue Plan helped strengthen the Affordable Care Act by lowering costs and encouraging a record… https://t.co/i9rF1P0Dl0
1506662260588089357,2022-03-23 16:00:50+00:00,"During the pandemic, the Affordable Care Act helped make vaccines and COVID-19 tests available for free, covered em… https://t.co/QuZHfxhUct"
1506662257891201034,2022-03-23 16:00:49+00:00,"12 years ago today, I signed the Affordable Care Act into law. I’ve always believed that health care shouldn’t be a… https://t.co/gQQ3izURbp"
1504185850631970833,2022-03-16 20:00:27+00:00,"It’s been a great year for college basketball, and now #MarchMadness is officially back. I’m excited for some of th… https://t.co/NMumbpqL0G"
1504178338423844872,2022-03-16 19:30:36+00:00,"And third, a reminder that in the face of brutal repression, there are ordinary Russians that are showing tremendou… https://t.co/QwqOR4utSh"
1504178336582586371,2022-03-16 19:30:36+00:00,"Second, a useful primer on why no-fly zones don’t offer a simple answer to stopping the bloodshed. https://t.co/q7VnpgLw9X"
1504178334476943362,2022-03-16 19:30:35+00:00,"As we bear witness to the tragedy unfolding in Ukraine, here are three articles worth reading. First, a description… https://t.co/7Pr1TDMxZi"
1503092299173089288,2022-03-13 19:35:04+00:00,"I just tested positive for COVID. I’ve had a scratchy throat for a couple days, but am feeling fine otherwise. Mich… https://t.co/37xOUJQ977"
1502061143963185202,2022-03-10 23:17:38+00:00,The @ObamaFoundation has compiled more stories of people who are going above and beyond to help those in need. I ho… https://t.co/hi5sWowNAS
1502061142289616898,2022-03-10 23:17:37+00:00,".@Airbnb is offering free, short-term housing for 100,000 refugees fleeing Ukraine. https://t.co/iBLlGM8Pgj"
1502061139877941250,2022-03-10 23:17:37+00:00,".@ChefJoseAndres’ nonprofit organization, @WCKitchen, has set up mobile kitchens along the Ukrainian border and nea… https://t.co/XkKG1rPBdv"
1502061138057605138,2022-03-10 23:17:36+00:00,"Drawing on her own story as a refugee, 2018 Obama Fellow @ZarlashtH started the Refugee Trauma Initiative to care f… https://t.co/ef2VWo4DkV"
1502061135725568003,2022-03-10 23:17:36+00:00,"Over the last few weeks, we’ve seen people, organizations, and companies around the world stepping up to support th… https://t.co/M1vvFDBbAU"
1499505056126808068,2022-03-03 22:00:39+00:00,"The Ukrainian people need our help. If you’re looking for a way to make a difference, here are some organizations d… https://t.co/LUVnfhYA7X"
1498342513186422796,2022-02-28 17:01:07+00:00,"Richard Hunt is one of the greatest artists Chicago has ever produced, and I couldn’t be prouder that his “Book Bir… https://t.co/9CRgSrqSOO"
1497572176614109188,2022-02-26 14:00:05+00:00,"It’s hard to believe it's been 10 years since Trayvon Martin was killed. Leading up to this anniversary, I reflecte… https://t.co/5Pi1tlwip2"
1497243705165684744,2022-02-25 16:14:51+00:00,"Like Justice Breyer, Judge Jackson understands that the law isn’t just about abstract theory. It’s about people’s l… https://t.co/b9azEadgj1"
1497243703366275081,2022-02-25 16:14:50+00:00,"As a protégé of Justice Breyer, Judge Jackson earned a reputation for pragmatism and consensus building. It’s part… https://t.co/Oov24TJF8T"
1497243701483032576,2022-02-25 16:14:50+00:00,I want to congratulate Judge Ketanji Brown Jackson on her nomination to the Supreme Court. Judge Jackson has alread… https://t.co/FWwlmf16ZB
1496947181214916614,2022-02-24 20:36:34+00:00,"Last night, Russia launched a brazen attack on the people of Ukraine, in violation of international law and basic p… https://t.co/YEA4EE3unl"
1496617242406096898,2022-02-23 22:45:31+00:00,Michelle and I were sad to hear about the passing of Paul Farmer. His life was an example of how one man with visio… https://t.co/94EzuUfOn0
1496241395174150144,2022-02-22 21:52:02+00:00,"I want to thank everyone who has joined @AllOnTheLine in its mission to end gerrymandering. Every phone call, every… https://t.co/aAXYEu9va0"
1496241393018327044,2022-02-22 21:52:01+00:00,"And in Ohio, @AllOnTheLine held 139 training sessions—equipping thousands of Ohioans from every corner of the state… https://t.co/xtb14Tv17q"
1496241389104939008,2022-02-22 21:52:00+00:00,"In North Carolina, Karla Icaza De Austin, an Army veteran from Fayetteville, urged her state legislators to demand… https://t.co/IwWjX2h7P3"
1496241385120407553,2022-02-22 21:51:59+00:00,"Since then, folks across the country have participated in the redistricting process—many for the first time. It’s a… https://t.co/Xu6fPFemCW"
1496241382146646028,2022-02-22 21:51:58+00:00,"Three years ago, I helped @EricHolder launch @AllOnTheLine, a people-powered campaign to fight gerrymandering and a… https://t.co/dIbKa1r1rS"
1495775428421824512,2022-02-21 15:00:26+00:00,John Lewis knew that change could not wait for some other person or some other time. His life was a lesson in the f… https://t.co/rWBK9uTBmA
1494394668506824712,2022-02-17 19:33:48+00:00,It’s exactly the kind of ambition we need if we’re going to protect our planet and avoid the worst effects of climate change.
1494394666606903300,2022-02-17 19:33:47+00:00,Now the Biden-Harris Administration’s Build Back Better Agenda includes an even larger investment that would create… https://t.co/xsO6txP2Nd
