name,text
Virat Kohli,The difference between a good attempt and a good catch is the work you do in the gym - shankar basu. Thanks for imb… https://t.co/k7BDxZBeti
Virat Kohli,I go from hot and uncomfortable to cool and relaxed in no time. Thanks to my Blue Star Fast-Cooling AC. You should… https://t.co/FpQMtrA523
Virat Kohli,"Always a pleasure to see you paji. ⭐🐐
@sachin_rt https://t.co/SrOIXW9hl2"
Virat Kohli,"Job done. ✌️
@RCBTweets https://t.co/74HqNEF3S6"
Virat Kohli,Keep the grind on. https://t.co/mxMQU2pLe4
Virat Kohli,Don't let your peers' success bog you down. Empower your career with Great Learning's cutting-edge programs from th… https://t.co/C65IlqTxK3
Virat Kohli,"Back to back W. Top knock by DK &amp; Shahbaz. 🤟
@RCBTweets https://t.co/z5tMuQqxzp"
Virat Kohli,"New week &amp; new challenges. We are ready. 
@RCBTweets https://t.co/YD263yYyVd"
Virat Kohli,🏏♥️ https://t.co/uVYLDFJ0qJ
Virat Kohli,"Life isn't about playing it safe, it's about making choices. Dream it. Achieve it. Take the leap and #MakeABoldMove… https://t.co/QjUIzEkRtE"
Virat Kohli,"OFF THE MARK ✅
@RCBTweets https://t.co/MuEWHCnFOu"
Virat Kohli,We go again ✅💯 @RCBTweets https://t.co/j8kZZ2A0DL
Virat Kohli,♥️ https://t.co/3aOyai1jws
Virat Kohli,Congratulations @Pvsindhu1 on winning the Swiss Open. Keep shining. 🙌🇮🇳 https://t.co/HZlRXg133g
Virat Kohli,Always tough to bow out of a tournament you aim to win but our women's team can hold their heads high. You gave it… https://t.co/HHu9U6M979
Virat Kohli,Heading into matchday weekend. All the buzz and excitement of IPL in the air. Love this anticipation and butterflie… https://t.co/i5SkR1zrQZ
Virat Kohli,Nana Patekar after a long time on screen and what an #ad! https://t.co/MmwAMcNvsR
Virat Kohli,"Play is passion. Passion is play. 
Let's play nonstop this season with the Bleed Blue limited edition 
fragrances.… https://t.co/iwEdpyrnJZ"
Virat Kohli,Legendary captaincy tenure in yellow skip. A chapter fans will never forget. Respect always. ❤️💛 @msdhoni https://t.co/cz5AWkJV9S
Virat Kohli,Not too long to go now⏳ https://t.co/CzFOYqf53M
Virat Kohli,I have been loving my Hypervolt Go. It helps my body feel fresh and restored no matter where I'm at. Recover like m… https://t.co/t4aUuWrp2C
Virat Kohli,IPL around the corner and the excitement is in the air. 👌💯 https://t.co/HVMNlMQys9
Virat Kohli,The Most Iconic Cartoon Character has come to the Quirkiest Fashion Brand. Get Spinach Power the Wrogn Way. Get you… https://t.co/pzLIfGLvbx
Virat Kohli,The Earth has music for those who listen. https://t.co/dyeMuwTff6
Virat Kohli,https://t.co/s4IxP23ItK
Virat Kohli,"Great atmosphere, good win, thank you to all the fans for your support 🇮🇳🏆 https://t.co/mmyGTFyIYt"
Virat Kohli,Back to Bengaluru ❤️. Can't wait for tomorrow 🇮🇳 https://t.co/hzBVKUe6MC
Virat Kohli,"Celebrating Women's Day, the Wrogn way. 🛒👈 https://t.co/diJoQZTDzt

Get your Limited-Edition @StayWrogn Strogn Tees… https://t.co/GAbIQ06Aid"
Virat Kohli,Been a long journey to get here. Full of ups and downs and learnings. Would not have had it any other way. Thank yo… https://t.co/MFARVpM7V0
Virat Kohli,Life is so fickle and unpredictable. I cannot process the passing of this great of our sport and also a person I go… https://t.co/AbXo4rsn57
Virat Kohli,Very grateful for the journey so far. A big day and a special test match. Can't wait to get this started. 🇮🇳 https://t.co/NPAJNSbl2U
Virat Kohli,Another day catching up with the #Vivaldis and @AwaazStray team and officially inaugurating the ambulance that help… https://t.co/98Vqp1MQQB
Virat Kohli,"No better time to cheer for the #WomenInBlue and show the strength of #HamaraBlueBandhan than this, ‘cause it’s tim… https://t.co/vhsM5pojVK"
Virat Kohli,#BTS https://t.co/RYpd9b8VX9
Virat Kohli,Don’t hesitate. Don’t fear. Don’t hold yourself back. Get ready to take a leap and win it all. Here comes the all n… https://t.co/A6RaS45vcX
Virat Kohli,"Heading into the 15th year of #IPL, I look back fondly on all the memories, relationships, and learnings, on the RC… https://t.co/JT04oFMFi9"
Virat Kohli,"Season's bestseller for a reason!
The all new one8 mini's are worth a shot!
Get the experience from here-… https://t.co/HlBZsRZm3O"
Virat Kohli,Yuvi Pa thank you for this lovely gesture.Your comeback from cancer will always be an inspiration for people in all… https://t.co/AJd5SWF7NS
