,Index,Name,Tweets,Location,Subcategory,Unnamed: 5
0,7,NobodyAndNoOne7,IMEGAArts sjwjubilee Synova CodeENSH jeremyusa WartTheWizard Doncates Their kind never calls out actual racists They only use the term as a club to silence people who call them out on their bullshit Thats why you can never believe them when they call someone that or any other form of bigotry,Nowhere No Place,Arts,
1,15,AniKpopTrash,"RT WoodenPlank Mr Arts amp Crafts

smashbros smash smashultimate smashbrosultimate nintendo nintendoswitch kingdomhearts pokemon h",Every Fandom,Arts,
2,17,PrangeMartin,"RT Ranjandatta Happening today at PM MST Join here httpstcozuyvvUWjnX 
MRUArts presents the  Distinguished Speaker D",Traditional Coast Salish land,Arts,
3,20,ok4arts,LeadershipArts alumns be sure to register for Arts amp Culture Day Register here httpstcodaNPjQQIUM httpstcoPnxLvqTUJ,Oklahoma,Arts,
4,22,HESSPLASH,RT ocsculturalarts Today on Day  of Arts in Education Month we celebrate the Music Program of Hillsborough Elementary School Check out,Hillsborough North Carolina ,Arts,
5,31,MRUAntiRacism,"RT Ranjandatta Happening today at PM MST Join here httpstcozuyvvUWjnX 
MRUArts presents the  Distinguished Speaker D",,Arts,
6,33,Darkjonasss,"RT WoodenPlank Mr Arts amp Crafts

smashbros smash smashultimate smashbrosultimate nintendo nintendoswitch kingdomhearts pokemon h",France,Arts,
7,34,myre36,"RT WoodenPlank Mr Arts amp Crafts

smashbros smash smashultimate smashbrosultimate nintendo nintendoswitch kingdomhearts pokemon h",Iceland,Arts,
8,36,JoeyDeloria,oakridgeboys hey guys I have been a fan since I was a teenager and in  I was with a Theatre Arts Troupe and we did Elvira Im a Disabled Veteran and am looking forward to seeing you at Kewadin Is there a chance of getting a meet up with you guys Thanks Joe,Hulbert michigan ,Arts,
9,37,WILSONBEST11,KineneMukiibi JohnKasaija DailyMonitor UrugwiroVillage CNN BBC AlJazeera Let children study science subjects so that they become job creators By so doing hooliganism and criminal activities will be reduced They only require concentration I summing we also followed the path of Arts only as did our colleagues Encourage other hooligans,,Arts,
10,40,cyr_actual,"RT OilfieldRando Another  million for the National Endowment for the Arts 

Another  million for the National Endowment for the",VA,Arts,
11,42,ReArtistron,RT BKieltArtist Opening tomorrow OGHAM in CatalystArts Group show after a  week residency Read about it and the artists here https,Artistron,Arts,
12,44,MrUtopia6,"RT WoodenPlank Mr Arts amp Crafts

smashbros smash smashultimate smashbrosultimate nintendo nintendoswitch kingdomhearts pokemon h",,Arts,
13,54,TypoDynamofo,"RT OilfieldRando Another  million for the National Endowment for the Arts 

Another  million for the National Endowment for the",Horde Certified,Arts,
14,64,MickeyMeenan,RT Luke Visual Arts Interview Lisa Kesslers Heart in the Wound  Reassessing Sexual Abuse Power and the Catholic Church https,New York City,Arts,
15,69,50initiative,RT ThinkArts We believe that art should be accessible and inclusive to everyone so that every community can experience the transforma,Denver CO,Arts,
16,72,xRedCap,punishedsuzy Implying that thru the visions hed been having all game combined with using Arts more fine tuned ether control he became able to control ether to the nth degree,,Arts,
17,73,souris,RT InnerCityArts On April  we invite you to join The Workshop at MOCA a free event at The Geffen Contemporary at MOCAlosangeles where,Los Angeles,Arts,
18,74,Potter_Wizard_,RT hpotterquotes That was the best Defense Against the Dark Arts lesson weve ever had wasnt it Ron Book ,Hermiones heart ,Arts,
19,76,PGuildCanada,A comedy about culture hockey relationships and sex zeezeetheatre presents Men Express Their Feelings by PGC Member sunnydrake at the Firehall Arts Centre from March th to April rd Buy tickets here httpstcokIEtKzRPy httpstcooDibDHupj,Toronto,Arts,
20,77,arushiyo,"RT HIDEOKOJIMAEN 
I received the nd Minister of Education Award for Fine Arts from the Agency of Cultural Affairs Government of J",,Arts,
21,79,hvoyer17,"kevingosssax fordnation Sflecce Arts helps in other subjects and vice versa

music and maths
drawing perspective geometry proportion and maths",Gatineau Qubec,Arts,
22,80,GenV02,"RT WoodenPlank Mr Arts amp Crafts

smashbros smash smashultimate smashbrosultimate nintendo nintendoswitch kingdomhearts pokemon h",Land of Departure,Arts,
23,82,TiredFather0117,"RT WoodenPlank Mr Arts amp Crafts

smashbros smash smashultimate smashbrosultimate nintendo nintendoswitch kingdomhearts pokemon h",,Arts,
24,85,VENICEXIST,LAController Give this money to Arts in Education  LA is an hub for the creative industry yet the school system has ZERO ARTS PROGRAMS  We need to school kids on the film industry tech industry crafts industry etc    Wake up and school the kids of tomorrow  RonArtsINLA,,Arts,
25,86,UW_StudentLife,RT uwdiversity Were so excited for the Black Arts Matter Festival Make you plans now to check it out at the WIUnionTheater from March,Madison Wisconsin,Arts,
