Index,Name,Tweets,Location,Subcategory,
7,NobodyAndNoOne7,"@IMEGA_Arts @sjw_jubilee @Synova10 @Code_E_NSH @jeremy01usa @WartTheWizard @Doncates Their kind never calls out actual racists. They only use the term as a club to silence people who call them out on their bullshit. That's why you can never believe them when they call someone that, or any other form of bigotry.","Nowhere, No Place",Arts,
15,AniKpopTrash,"RT @WoodenPlank: Mr. Arts &amp; Crafts

#smashbros #smash #smashultimate #smashbrosultimate #nintendo #nintendoswitch #kingdomhearts #pokemon h…",Every Fandom,Arts,
17,PrangeMartin,"RT @Ranjan__datta: Happening today at 6:00PM (MST). Join here https://t.co/zuyvvUWjnX 
@MRU_Arts presents the 2022 Distinguished Speaker, D…",Traditional Coast Salish land,Arts,
20,ok4arts,"#LeadershipArts alumns, be sure to register for Arts &amp; Culture Day! Register here: https://t.co/daNPjQQIUM https://t.co/P3nxLvqTUJ",Oklahoma,Arts,
22,HESSPLASH,RT @ocsculturalarts: Today on Day 16 of Arts in Education Month we celebrate the Music Program of Hillsborough Elementary School. Check out…,"Hillsborough, North Carolina ",Arts,
31,MRUAntiRacism,"RT @Ranjan__datta: Happening today at 6:00PM (MST). Join here https://t.co/zuyvvUWjnX 
@MRU_Arts presents the 2022 Distinguished Speaker, D…",,Arts,
33,Darkjonasss,"RT @WoodenPlank: Mr. Arts &amp; Crafts

#smashbros #smash #smashultimate #smashbrosultimate #nintendo #nintendoswitch #kingdomhearts #pokemon h…",France,Arts,
34,myre36,"RT @WoodenPlank: Mr. Arts &amp; Crafts

#smashbros #smash #smashultimate #smashbrosultimate #nintendo #nintendoswitch #kingdomhearts #pokemon h…",Iceland,Arts,
36,JoeyDeloria,"@oakridgeboys hey guys I have been a fan since I was a teenager and in 1983 I was with a Theatre Arts Troupe and we did ""Elvira"" I'm a Disabled Veteran and am looking forward to seeing you at Kewadin. Is there a chance of getting a meet up with you guys. Thanks Joe",Hulbert michigan. ,Arts,
37,WILSONBEST11,"@KineneMukiibi @JohnKasaija1 @DailyMonitor @UrugwiroVillage @CNN @BBC @AlJazeera Let children study science subjects so that they become job creators. By so doing, hooliganism and criminal activities will be reduced. They only require concentration. I summing we also followed the path of Arts only as did our colleagues. Encourage other hooligans.",,Arts,
